id,entity_type,entity_id,attachment_id,description,is_required,created_at
15,monitoring,0,15,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:20 GMT+0800 (Philippine Standard Time)
16,monitoring,0,16,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:22 GMT+0800 (Philippine Standard Time)
17,monitoring,0,17,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:27 GMT+0800 (Philippine Standard Time)
18,monitoring,0,18,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:31 GMT+0800 (Philippine Standard Time)
19,monitoring,0,19,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:38 GMT+0800 (Philippine Standard Time)
20,monitoring,0,20,PPMP_All_Divisions_FY_2026.pdf,false,Sun Feb 22 2026 18:46:42 GMT+0800 (Philippine Standard Time)
81,purchase_request,42,81,Route Slip / Annex 1,false,Tue Mar 31 2026 15:05:45 GMT+0800 (Philippine Standard Time)
82,rfq,25,82,RFQ Document (Signed),false,Tue Mar 31 2026 15:06:33 GMT+0800 (Philippine Standard Time)
83,purchase_order,21,83,Purchase Order Document (Signed),false,Tue Mar 31 2026 15:13:57 GMT+0800 (Philippine Standard Time)
87,pkt_po,42,87,SIC_Notarized_Glomer.pdf,false,Tue Mar 31 2026 15:15:53 GMT+0800 (Philippine Standard Time)
88,notice_of_award,21,88,SIC_Notarized_KURT.pdf,false,Tue Mar 31 2026 15:15:56 GMT+0800 (Philippine Standard Time)
89,post_qualification,21,89,SIC_Notarized_Glomer.pdf,false,Tue Mar 31 2026 15:15:59 GMT+0800 (Philippine Standard Time)
90,bac_resolution,21,90,SIC_Notarized_Glomer.pdf,false,Tue Mar 31 2026 15:16:01 GMT+0800 (Philippine Standard Time)
91,abstract,23,91,SIC_Notarized_KURT.pdf,false,Tue Mar 31 2026 15:16:04 GMT+0800 (Philippine Standard Time)
92,iar,8,92,iar attachment,false,Tue Mar 31 2026 15:16:24 GMT+0800 (Philippine Standard Time)
