id,name,contact_person,phone,email,address,tin,org_type,tax_type,is_active,created_at,updated_at,supplier_name
1,MID-TOWN COMPUTERS AND SERVICES,,,,"LOPEZ JAENA ST., BUTUAN CITY",929-755-615-000,Non-Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),MID-TOWN COMPUTERS AND SERVICES
2,RFY MARKETING,,,,"P-8 AMBAGO, BUTUAN CITY",287-464-966-00000,Non-Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),RFY MARKETING
3,PROCUREMENT SERVICE,,,,"J.P. RIZAL AVE., BUTUAN CITY",,Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),PROCUREMENT SERVICE
4,LINK NETWORK SOLUTIONS INC.,,,,,007-002-021-000,Non-Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),LINK NETWORK SOLUTIONS INC.
5,AIRMASTERS AIRCONDITIONING SERVICES,,,,"PHASE 3, BLK 13 LOT 16-18, EMENVILLE SUBD., BRGY. AMBAGO, BUTUAN CITY",713-742-008-000,Non-Government,Non-VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),AIRMASTERS AIRCONDITIONING SERVICES
6,MICO'S KEY SHOP,,,,"R.CALO St., HUMABON POB.(BGY11) BUTUAN CITY",718-231-398-000,Non-Government,Non-VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),MICO'S KEY SHOP
7,KIMSON COMMERCIAL,,,,"R. CALCO ST., BUTUAN CITY",,Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),KIMSON COMMERCIAL
8,FMJ Information Technology Solutions,,,,"4TH ST. VILLAGE 2 LIBERTAD, BUTUAN CITY",765-010-774-000,Non-Government,Non-VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),FMJ Information Technology Solutions
9,COMPAÑERO COMMERCIAL,,,,"LOPEZ JAENA ST., BUTUAN CITY",128-218-254-000,Non-Government,VAT,true,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),COMPAÑERO COMMERCIAL
10,Testing,,,,,,,,true,Wed Apr 08 2026 16:52:47 GMT+0800 (Philippine Standard Time),Wed Apr 08 2026 16:52:47 GMT+0800 (Philippine Standard Time),Testing
