id,code,category,name,description,created_at,updated_at
1,1040407000,EXPENDABLE,"Medical, Dental and Laboratory Supplies Inventory",,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
2,1060503000,CAPITAL OUTLAY,Information and Communications Technology Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
3,1060101000,CAPITAL OUTLAY,Land,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
4,1040602000,SEMI-EXPANDABLE,Semi-Expendable Books,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
5,1040406000,EXPENDABLE,Drugs and Medicines Inventory,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
6,1040413000,EXPENDABLE,Construction Materials Inventory,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
7,1060401000,CAPITAL OUTLAY,Buildings,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
8,1040507000,SEMI-EXPANDABLE,Semi-Expendable Communications Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
9,1040502000,SEMI-EXPANDABLE,Semi-Expendable Office Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
10,1040510000,SEMI-EXPANDABLE,Semi-Expendable Medical Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
11,1040601000,SEMI-EXPANDABLE,Semi-Expendable Furniture and Fixtures,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
12,1040503000,SEMI-EXPANDABLE,Semi-Expendable Information and Communications Technology Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
13,1040501000,SEMI-EXPANDABLE,Semi-Expendable Machinery,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
14,1060599000,CAPITAL OUTLAY,Other Machinery and Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
15,1060502000,CAPITAL OUTLAY,Office Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
16,1040401000,EXPENDABLE,Office Supplies Inventory,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
17,1040511000,SEMI-EXPANDABLE,Semi-Expendable Printing Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
18,1060701000,CAPITAL OUTLAY,Furniture and Fixtures,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
19,1040499000,EXPENDABLE,Other Supplies and Materials Inventory,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
20,1040408000,EXPENDABLE,"Fuel, Oil and Lubricants Inventory",,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
21,1060514000,CAPITAL OUTLAY,Technical and Scientific Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
22,1060501000,CAPITAL OUTLAY,Machinery,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
23,1040519000,SEMI-EXPANDABLE,Semi-Expendable Other Machinery and Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
24,1040513000,SEMI-EXPANDABLE,Semi-Expendable Technical and Scientific Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
25,1040402000,EXPENDABLE,"Accountable Forms, Plates and Stickers Inventory",,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
26,1040512000,SEMI-EXPANDABLE,Semi-Expendable Sports Equipment,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
27,1060601000,CAPITAL OUTLAY,Motor Vehicles,,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
