id,abbreviation,name,created_at,updated_at
1,GAL,GALLON,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
2,DOZEN,DOZEN,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
3,CAN,CAN,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
4,UNIT,UNIT,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
5,PCS,PIECES,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
6,PACK,PACK,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
7,SET,SET,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
8,BOX,BOX,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
9,REAM,REAM,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
10,PAIR,PAIR,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
11,BOT,BOTTLE,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
12,ROLL,ROLL,Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time),Mon Feb 16 2026 11:14:17 GMT+0800 (Philippine Standard Time)
13,BOOK,BOOK,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
14,BUNDLE,BUNDLE,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
15,CART,CARTRIDGE,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
16,LENGTH,LENGTH,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
17,LICENSE,LICENSE,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
18,LOT,LOT,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
19,PAD,PAD,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
20,POUCH,POUCH,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
21,SPOOL,SPOOL,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
22,TICKET,TICKET,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
23,TUBE,TUBE,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
24,JAR,JAR,Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time),Thu Feb 26 2026 09:32:36 GMT+0800 (Philippine Standard Time)
25,PAX ,PAX,Thu Mar 12 2026 10:08:16 GMT+0800 (Philippine Standard Time),Thu Mar 12 2026 10:08:16 GMT+0800 (Philippine Standard Time)
26,SQ.FT,SQUARE FOOT,Thu Mar 12 2026 10:29:15 GMT+0800 (Philippine Standard Time),Thu Mar 12 2026 10:29:15 GMT+0800 (Philippine Standard Time)
27,CP,COPIES,Thu Mar 12 2026 10:30:18 GMT+0800 (Philippine Standard Time),Thu Mar 12 2026 10:30:18 GMT+0800 (Philippine Standard Time)
