table_name,row_count
abstract_quotations,2
abstract_quote_items,2
abstracts,1
activity_logs,1011
app_settings,1
attachments,15
audit_log,0
bac_resolutions,1
coa_submissions,0
departments,5
designations,18
divisions,5
employees,31
entity_attachments,15
fund_clusters,1
iar_items,0
iars,0
inventory_custodian_slips,3
items,709
notices_of_award,1
notifications,32
offices,5
pap_items,0
paps,0
plan_items,8
po_items,1
po_packets,0
post_qualifications,1
ppmp_categories,9
ppmp_sections,5
pr_items,1
procurement_modes,11
procurementplans,204
property_acknowledgement_receipts,0
property_cards,3
property_ledger_cards,18
property_transfer_reports,0
purchaseorders,1
purchaserequests,1
received_capital_outlay_items,0
received_semi_expendable_items,3
requisition_issue_slips,0
rfq_items,1
rfq_suppliers,0
rfqs,1
ris_items,0
settings,6
stock_cards,48
suppliers,10
supplies_ledger_cards,48
trip_tickets,3
uacs_codes,27
uoms,27
user_department_access,14
users,13
